idolId,accounts,onlyAccounts,tweets
1,304,157,612
2,214,103,466
3,257,146,604
4,53,34,105
5,196,113,533
6,74,33,134
7,32,17,92
8,302,191,780
9,57,30,124
10,12,5,12
11,365,217,923
12,537,358,1361
13,238,132,592
14,21,6,58
15,266,154,456
16,13,3,22
17,92,50,152
18,51,20,86
19,179,91,420
20,86,51,180
21,15,5,22
22,108,51,278
23,91,38,149
24,35,13,56
25,256,126,574
26,77,42,137
27,862,641,1824
28,399,269,738
29,18,7,31
30,29,10,52
31,28,12,50
32,382,258,734
33,191,110,407
34,90,54,161
35,364,268,601
36,29,16,57
37,27,11,72
38,25,6,31
39,13,5,19
40,21,8,43
41,141,65,346
45,9,3,14
47,13,4,18
48,40,21,78
49,23,8,29
50,518,379,1186
51,15,7,24
52,21,8,45
53,14,6,22
54,218,109,491
55,80,46,177
56,22,8,31
57,21,4,34
58,49,27,76
59,644,447,1502
60,20,5,29
61,18,6,20
62,43,20,104
63,247,115,537
64,161,90,369
65,27,6,44
66,205,106,405
67,266,140,611
68,88,58,159
69,58,25,114
70,9,2,10
71,19,9,27
72,26,12,54
73,162,100,340
74,740,513,1775
75,159,102,427
76,143,83,339
77,66,40,112
78,322,194,655
79,61,31,114
80,122,59,240
81,199,113,411
82,35,12,64
83,34,23,76
84,403,212,1105
85,362,231,730
86,27,13,38
87,39,13,84
88,349,187,729
89,726,506,1808
90,103,61,211
91,79,39,164
92,133,86,234
93,20,8,23
94,108,44,207
95,8,1,22
96,70,44,137
97,437,280,966
98,301,172,590
99,18,4,30
100,19,9,38
101,374,212,886
102,10,1,20
103,16,5,49
104,53,26,97
105,250,154,608
110,11,5,21
111,75,49,165
112,32,11,42
113,32,13,66
114,312,219,527
115,14,4,28
116,24,10,30
117,16,7,17
118,66,28,103
119,50,25,79
120,205,106,368
121,104,56,208
122,53,29,93
123,565,383,1330
124,62,32,152
125,61,27,147
126,429,263,868
127,285,179,627
128,95,36,162
129,148,78,259
130,78,43,165
131,418,257,736
132,211,97,522
133,211,106,493
134,244,110,690
135,560,337,1529
136,65,35,185
137,187,109,477
138,179,98,363
139,30,15,49
140,28,14,35
141,10,2,16
142,31,8,63
143,153,88,303
144,15,3,19
145,15,5,31
146,272,153,485
147,121,60,218
149,155,86,325
150,43,21,110
151,26,9,44
153,137,102,383
154,91,33,185
155,19,7,35
156,41,13,55
157,376,246,748
158,71,34,135
159,228,125,447
160,10,7,23
161,167,91,376
162,65,37,112
163,326,161,589
164,235,127,535
165,19,7,38
166,8,3,14
167,42,23,89
168,420,256,1155
169,117,67,219
170,36,21,73
171,155,76,396
172,334,246,627
173,269,138,761
174,128,77,382
175,16,7,26
176,16,5,41
181,137,77,261
184,183,104,306
185,19,4,25
186,149,72,359
187,18,9,25
188,22,8,43
189,64,26,118
190,12,0,18
191,24,5,44
192,75,40,123
193,101,52,176
194,26,11,56
195,26,8,52
196,41,13,60
197,142,69,357
198,557,384,978
200,48,23,88
204,289,143,618
205,204,95,337
206,456,282,998
1001,295,91,729
1002,242,85,623
1003,366,123,663
1004,278,107,411
