datetime, generalTweets, generalAccounts, voiceTweets, voiceAccounts
2021-04-19-15-00-00,,,,
2021-04-19-16-00-00,,,,
2021-04-19-17-00-00,,,,
2021-04-19-18-00-00,,,,
2021-04-19-19-00-00,,,,
2021-04-19-20-00-00,,,,
2021-04-19-21-00-00,,,,
2021-04-19-22-00-00,,,,
2021-04-19-23-00-00,,,,
2021-04-20-00-00-00,15322,9960,11578,7697
2021-04-20-01-00-00,17105,10884,12911,10643
2021-04-20-02-00-00,17587,11150,13322,8647
2021-04-20-03-00-00,17737,11232,13445,8721
2021-04-20-04-00-00,17809,11274,13525,8759
2021-04-20-05-00-00,17995,11365,13682,8847
2021-04-20-06-00-00,17995,11365,13682,8847
2021-04-20-07-00-00,,,,
2021-04-20-08-00-00,18474,11547,14063,8996
2021-04-20-09-00-00,,,,
2021-04-20-10-00-00,,,,
2021-04-20-11-00-00,19733,12033,15168,9392
2021-04-20-12-00-00,19733,12033,15168,9392
2021-04-20-13-00-00,,,,
2021-04-20-14-00-00,20395,12276,15760,9616
2021-04-20-15-00-00,,,,
2021-04-20-16-00-00,20780,12427,16107,9727
2021-04-20-17-00-00,,,,
2021-04-20-18-00-00,21134,12547,16432,9835
2021-04-20-19-00-00,,,,
2021-04-20-20-00-00,21775,12737,16954,9999
2021-04-20-21-00-00,,,,
2021-04-20-22-00-00,23353,13139,18301,10363
2021-04-20-23-00-00,,,,
2021-04-21-00-00-00,25173,13592,19763,10746
2021-04-21-01-00-00,,,,
2021-04-21-02-00-00,26722,13974,21003,11049
2021-04-21-03-00-00,,,,
2021-04-21-04-00-00,26965,14040,21209,11106
2021-04-21-05-00-00,,,,
2021-04-21-06-00-00,27101,14085,21321,11141
2021-04-21-07-00-00,,,,
2021-04-21-08-00-00,27524,14164,21658,11210
2021-04-21-09-00-00,,,,
2021-04-21-10-00-00,28236,14310,22258,11323
2021-04-21-11-00-00,,,,
2021-04-21-12-00-00,28553,14385,22554,11378
2021-04-21-13-00-00,,,,
2021-04-21-14-00-00,29038,14480,22992,11462
2021-04-21-15-00-00,,,,
2021-04-21-16-00-00,29384,14570,23398,11538
2021-04-21-17-00-00,,,,
2021-04-21-18-00-00,29726,14656,23721,11602
2021-04-21-19-00-00,,,,
2021-04-21-20-00-00,30311,14778,24271,11706
2021-04-21-21-00-00,,,,
2021-04-21-22-00-00,31508,15007,25348,11907
2021-04-21-23-00-00,,,,
2021-04-22-00-00-00,33107,15272,26655,12127
2021-04-22-01-00-00,,,,
2021-04-22-02-00-00,34405,15497,27851,12329
2021-04-22-03-00-00,,,,
2021-04-22-04-00-00,34608,15550,28094,12382
2021-04-22-05-00-00,,,,
2021-04-22-06-00-00,34716,15569,28195,12401
2021-04-22-07-00-00,,,,
2021-04-22-08-00-00,35110,15627,28522,12450
2021-04-22-09-00-00,,,,
2021-04-22-10-00-00,,,,
2021-04-22-11-00-00,35983,15781,29387,12596
2021-04-22-12-00-00,35983,15781,29387,12596
2021-04-22-13-00-00,,,,
2021-04-22-14-00-00,36424,15842,29790,12661
2021-04-22-15-00-00,,,,
2021-04-22-16-00-00,36725,15914,30066,12729
2021-04-22-17-00-00,,,,
2021-04-22-18-00-00,37126,15979,30447,12795
2021-04-22-19-00-00,,,,
2021-04-22-20-00-00,37665,16083,30947,12890
2021-04-22-21-00-00,,,,
2021-04-22-22-00-00,38838,16249,32037,13058
2021-04-22-23-00-00,,,,
2021-04-23-00-00-00,40176,16421,33313,13234
2021-04-23-01-00-00,,,,
2021-04-23-02-00-00,41403,16592,34416,13389
2021-04-23-03-00-00,,,,
2021-04-23-04-00-00,41619,16632,34634,13423
2021-04-23-05-00-00,,,,
2021-04-23-06-00-00,41715,16646,34752,13436
2021-04-23-07-00-00,,,,
2021-04-23-08-00-00,42065,16682,35033,13469
2021-04-23-09-00-00,,,,
2021-04-23-10-00-00,,,,
2021-04-23-11-00-00,42773,16771,35724,13550
2021-04-23-12-00-00,42773,16771,35724,13550
2021-04-23-13-00-00,,,,
2021-04-23-14-00-00,43116,16803,36082,13585
2021-04-23-15-00-00,,,,
2021-04-23-16-00-00,43336,16839,36311,13621
2021-04-23-17-00-00,,,,
2021-04-23-18-00-00,43520,16867,36489,13658
2021-04-23-19-00-00,,,,
2021-04-23-20-00-00,43900,16936,36853,13714
2021-04-23-21-00-00,,,,
2021-04-23-22-00-00,44893,17066,37758,13857
2021-04-23-23-00-00,,,,
2021-04-24-00-00-00,46096,17189,38822,13977
2021-04-24-01-00-00,,,,
2021-04-24-02-00-00,47181,17346,39737,14087
2021-04-24-03-00-00,,,,
2021-04-24-04-00-00,47383,17381,39918,14111
2021-04-24-05-00-00,,,,
2021-04-24-06-00-00,47476,17392,40002,14124
2021-04-24-07-00-00,,,,
2021-04-24-08-00-00,47754,17423,40213,14144
2021-04-24-09-00-00,,,,
2021-04-24-10-00-00,,,,
2021-04-24-11-00-00,49023,17596,41143,14287
2021-04-24-12-00-00,49023,17596,41143,14287
2021-04-24-13-00-00,,,,
2021-04-24-14-00-00,49415,17651,41510,14333
2021-04-24-15-00-00,,,,
2021-04-24-16-00-00,49805,17705,41954,14403
2021-04-24-17-00-00,,,,
2021-04-24-18-00-00,50203,17776,42339,14464
2021-04-24-19-00-00,,,,
2021-04-24-20-00-00,50574,17835,42679,14513
2021-04-24-21-00-00,,,,
2021-04-24-22-00-00,51506,17956,43566,14616
2021-04-24-23-00-00,,,,
2021-04-25-00-00-00,52695,18124,44499,14773
2021-04-25-01-00-00,,,,
2021-04-25-02-00-00,53755,18260,45402,14893
2021-04-25-03-00-00,,,,
2021-04-25-04-00-00,53938,18303,45553,14928
2021-04-25-05-00-00,,,,
2021-04-25-06-00-00,54029,18317,45619,14942
2021-04-25-07-00-00,,,,
2021-04-25-08-00-00,54221,18340,45813,14967
2021-04-25-09-00-00,,,,
2021-04-25-10-00-00,,,,
2021-04-25-11-00-00,55123,18469,46657,15078
2021-04-25-12-00-00,55123,18469,46657,15078
2021-04-25-13-00-00,,,,
2021-04-25-14-00-00,55513,18546,47014,15132
2021-04-25-15-00-00,,,,
2021-04-25-16-00-00,55941,18617,47377,15194
2021-04-25-17-00-00,,,,
2021-04-25-18-00-00,56552,18711,47923,15282
2021-04-25-19-00-00,,,,
2021-04-25-20-00-00,56983,18777,48326,15352
2021-04-25-21-00-00,,,,
2021-04-25-22-00-00,57942,18858,49189,15440
2021-04-25-23-00-00,,,,
2021-04-26-00-00-00,59262,18960,50153,15560
2021-04-26-01-00-00,,,,
2021-04-26-02-00-00,60234,19081,50975,15667
2021-04-26-03-00-00,,,,
2021-04-26-04-00-00,60359,19099,51113,15687
2021-04-26-05-00-00,,,,
2021-04-26-06-00-00,60449,19106,51170,15694
2021-04-26-07-00-00,,,,
2021-04-26-08-00-00,60695,19131,51387,15713
2021-04-26-09-00-00,,,,
2021-04-26-10-00-00,,,,
2021-04-26-11-00-00,61268,19197,51949,15765
2021-04-26-12-00-00,61268,19197,51949,15765
2021-04-26-13-00-00,,,,
2021-04-26-14-00-00,61619,19236,52304,15797
2021-04-26-15-00-00,,,,
2021-04-26-16-00-00,61787,19262,52473,15813
2021-04-26-17-00-00,,,,
2021-04-26-18-00-00,61962,19281,52646,15834
2021-04-26-19-00-00,,,,
2021-04-26-20-00-00,62307,19317,52942,15873
2021-04-26-21-00-00,,,,
2021-04-26-22-00-00,63204,19425,53682,15931
2021-04-26-23-00-00,,,,
